Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv, 19, 19, 3, 3, 17, 256, 1,
Res_conv1, 19, 19, 3, 3, 256, 256, 1,
Res_conv2, 19, 19, 3, 3, 256, 256, 1,
ValueHead_conv, 19, 19, 1, 1, 256, 1, 1,
ValueHead_FC1, 1, 1, 1, 1, 361, 256, 1,
ValueHead_FC2, 1, 1, 1, 1, 256, 1, 1,
PolicyHead_Conv, 19, 19, 1, 1, 256, 2, 1,
PolidyHead_FC, 1, 1, 1, 1, 722, 362, 1,
Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DeepSpeech_conv1,700,161,41,11,1,32,2,
DeepSpeech_conv2,341,79,21,11,32,32,2,
BatchRNN1,672,2560,1,2560,1,4,1, 
BatchRNN2,2560,2560,1,2560,1,4,1, 
BatchRNN3,2560,2560,1,2560,1,4,1, 
FC,1,2560,1,2560,1,29,1,
Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 224, 224, 7, 7, 3, 64, 2,
CB2a_1, 56, 56, 1, 1, 64, 64, 1,
CB2a_2, 56, 56, 3, 3, 64, 64, 1,
CB2a_3, 56, 56, 1, 1, 64, 256, 1,
CB2s, 56, 56, 1, 1, 64, 256, 1,
IB2b_1, 56, 56, 1, 1, 256, 64, 1,
IB2b_2, 56, 56, 3, 3, 64, 64, 1,
IB2b_3, 56, 56, 1, 1, 64, 256, 1,
IB2c_1, 56, 56, 1, 1, 256, 64, 1,
IB2c_2, 56, 56, 3, 3, 64, 64, 1,
IB2c_3, 56, 56, 1, 1, 64, 256, 1,
CB3a_1, 56, 56, 1, 1, 256, 128, 2,
CB3a_2, 28, 28, 3, 3, 128, 128, 1,
CB3a_3, 28, 28, 1, 1, 128, 512, 1,
CB3s, 56, 56, 1, 1, 256, 512, 2,
IB3b_1, 28, 28, 1, 1, 512, 128, 1,
IB3b_2, 28, 28, 3, 3, 128, 128, 1,
IB3b_3, 28, 28, 1, 1, 128, 512, 1,
IB3c_1, 28, 28, 1, 1, 512, 128, 1,
IB3c_2, 28, 28, 3, 3, 128, 128, 1,
IB3c_3, 28, 28, 1, 1, 128, 512, 1,
IB3d_1, 28, 28, 1, 1, 512, 128, 1,
IB3d_2, 28, 28, 3, 3, 128, 128, 1,
IB3d_3, 28, 28, 1, 1, 128, 512, 1,
CB4a_1, 28, 28, 1, 1, 512, 256, 2,
CB4a_2, 14, 14, 3, 3, 256, 256, 1,
CB4a_3, 14, 14, 1, 1, 256, 1024, 1,
CB4s, 28, 28, 1, 1, 512, 1024, 2,
IB4b_1, 14, 14, 1, 1, 1024, 256, 1,
IB4b_2, 14, 14, 3, 3, 256, 256, 1,
IB4b_3, 14, 14, 1, 1, 256, 1024, 1,
IB4c_1, 14, 14, 1, 1, 1024, 256, 1,
IB4c_2, 14, 14, 3, 3, 256, 256, 1,
IB4c_3, 14, 14, 1, 1, 256, 1024, 1,
IB4d_1, 14, 14, 1, 1, 1024, 256, 1,
IB4d_2, 14, 14, 3, 3, 256, 256, 1,
IB4d_3, 14, 14, 1, 1, 256, 1024, 1,
IB4e_1, 14, 14, 1, 1, 1024, 256, 1,
IB4e_2, 14, 14, 3, 3, 256, 256, 1,
IB4e_3, 14, 14, 1, 1, 256, 1024, 1,
IB4f_1, 14, 14, 1, 1, 1024, 256, 1,
IB4f_2, 14, 14, 3, 3, 256, 256, 1,
IB4f_3, 14, 14, 1, 1, 256, 1024, 1,
RPN_Conv1, 14, 14, 3, 3, 1024, 512, 1,
RPN_Conv_bbox, 14, 14, 1, 1, 512, 36, 1,
RPN_Conv3_cls, 14, 14, 1, 1, 512, 18, 1, 
Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 224, 224, 7, 7, 3, 64, 2,
CB2a_1, 56, 56, 1, 1, 64, 64, 1,
CB2a_2, 56, 56, 3, 3, 64, 64, 1,
CB2a_3, 56, 56, 1, 1, 64, 256, 1,
CB2s, 56, 56, 1, 1, 64, 256, 1,
IB2b_1, 56, 56, 1, 1, 256, 64, 1,
IB2b_2, 56, 56, 3, 3, 64, 64, 1,
IB2b_3, 56, 56, 1, 1, 64, 256, 1,
IB2c_1, 56, 56, 1, 1, 256, 64, 1,
IB2c_2, 56, 56, 3, 3, 64, 64, 1,
IB2c_3, 56, 56, 1, 1, 64, 256, 1,
CB3a_1, 56, 56, 1, 1, 256, 128, 2,
CB3a_2, 28, 28, 3, 3, 128, 128, 1,
CB3a_3, 28, 28, 1, 1, 128, 512, 1,
CB3s, 56, 56, 1, 1, 256, 512, 2,
IB3b_1, 28, 28, 1, 1, 512, 128, 1,
IB3b_2, 28, 28, 3, 3, 128, 128, 1,
IB3b_3, 28, 28, 1, 1, 128, 512, 1,
IB3c_1, 28, 28, 1, 1, 512, 128, 1,
IB3c_2, 28, 28, 3, 3, 128, 128, 1,
IB3c_3, 28, 28, 1, 1, 128, 512, 1,
IB3d_1, 28, 28, 1, 1, 512, 128, 1,
IB3d_2, 28, 28, 3, 3, 128, 128, 1,
IB3d_3, 28, 28, 1, 1, 128, 512, 1,
CB4a_1, 28, 28, 1, 1, 512, 256, 2,
CB4a_2, 14, 14, 3, 3, 256, 256, 1,
CB4a_3, 14, 14, 1, 1, 256, 1024, 1,
CB4s, 28, 28, 1, 1, 512, 1024, 2,
IB4b_1, 14, 14, 1, 1, 1024, 256, 1,
IB4b_2, 14, 14, 3, 3, 256, 256, 1,
IB4b_3, 14, 14, 1, 1, 256, 1024, 1,
IB4c_1, 14, 14, 1, 1, 1024, 256, 1,
IB4c_2, 14, 14, 3, 3, 256, 256, 1,
IB4c_3, 14, 14, 1, 1, 256, 1024, 1,
IB4d_1, 14, 14, 1, 1, 1024, 256, 1,
IB4d_2, 14, 14, 3, 3, 256, 256, 1,
IB4d_3, 14, 14, 1, 1, 256, 1024, 1,
IB4e_1, 14, 14, 1, 1, 1024, 256, 1,
IB4e_2, 14, 14, 3, 3, 256, 256, 1,
IB4e_3, 14, 14, 1, 1, 256, 1024, 1,
IB4f_1, 14, 14, 1, 1, 1024, 256, 1,
IB4f_2, 14, 14, 3, 3, 256, 256, 1,
IB4f_3, 14, 14, 1, 1, 256, 1024, 1,
CB5a_1, 14, 14, 1, 1, 1024, 512, 2,
CB5a_2, 7, 7, 3, 3, 512, 512, 1,
CB5a_3, 7, 7, 1, 1, 512, 2048, 1,
CB5s, 14, 14, 1, 1, 1024, 2048, 2,
IB5b_1, 7, 7, 1, 1, 2048, 512, 1,
IB5b_2, 7, 7, 3, 3, 512, 512, 1,
IB5b_3, 7, 7, 1, 1, 512, 2048, 1,
IB5c_1, 7, 7, 1, 1, 2048, 512, 1,
IB5c_2, 7, 7, 3, 3, 512, 512, 1,
IB5c_3, 7, 7, 1, 1, 512, 2048, 1,
FC6, 1, 1, 1, 1, 2048, 1000, 1,
Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Neural Collaborative Filtering(Recommendation),
MF_Embedding_user, 1, 1, 1, 1, 138000, 8, 1,
MF_Embedding_item, 1, 1, 1, 1, 138000, 8, 1,
MLP_Embedding_user, 1, 1, 1, 1, 138000, 32, 1,
MLP_Embedding_item, 1, 1, 1, 1, 138000, 32, 1,
MLP_FC1, 1, 1, 1, 1, 64, 32, 1,
MLP_FC2, 1, 1, 1, 1, 32, 16, 1,
MLP_FC3, 1, 1, 1, 1, 16, 8, 1,
Predict_FC, 1, 1, 1, 1, 16, 1, 1,
Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
,,,,,,,,
Embedding Layer,1024,1,1,1,30000,5,1,
Conv1,5,1024,3,3,1,1024,1,
Conv2,5,1024,3,3,1,1024,1,
FC,1,1,1,1,2048,2,1, Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Sentimental_seqLSTM,
Embedding_layer, 1, 256, 1, 1, 30000, 1, 1, 
FC, 1, 1, 1, 1, 256, 1024, 1, 
LSTM1_igate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_igate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_fgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_fgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_cgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_cgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ogate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ogate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ptwise1, 1, 1, 1, 1, 1024, 1, 1, 
LSTM1_ptwise2, 1, 1, 1, 1, 1024, 1, 1, 
LSTM1_ptwise3, 1, 1, 1, 1, 1024, 1, 1, 
FC, 1, 1, 1, 1, 2048, 1024, 1, 
LSTM2_igate_h, 1, 1, 1, 1, 1024, 1024, 1,
