Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 58,  224,  7,  7, 1, 64,  2,
CB2a_1, 28,  56,  1,  1, 11, 64,  1,
CB2a_2, 30,  56,  3,  3, 11, 64,  1,
CB2a_3, 28,  56,  1,  1, 32, 256,  1,
CB2s, 28,  56,  1,  1, 32, 256,  1,
IB2b_1, 28,  56,  1,  1, 43, 64,  1,
IB2b_2, 30,  56,  3,  3, 11, 64,  1,
IB2b_3, 28,  56,  1,  1, 32, 256,  1,
IB2c_1, 28,  56,  1,  1, 43, 64,  1,
IB2c_2, 30,  56,  3,  3, 11, 64,  1,
IB2c_3, 28,  56,  1,  1, 32, 256,  1,
CB3a_1, 13,  56,  1,  1, 86, 128,  2,
CB3a_2, 16,  28,  3,  3, 43, 128,  1,
CB3a_3, 14,  28,  1,  1, 128, 512,  1,
CB3s, 13,  56,  1,  1, 256, 512,  2,
IB3b_1, 14,  28,  1,  1, 171, 128,  1,
IB3b_2, 16,  28,  3,  3, 43, 128,  1,
IB3b_3, 14,  28,  1,  1, 128, 512,  1,
IB3c_1, 14,  28,  1,  1, 171, 128,  1,
IB3c_2, 16,  28,  3,  3, 43, 128,  1,
IB3c_3, 14,  28,  1,  1, 128, 512,  1,
IB3d_1, 14,  28,  1,  1, 171, 128,  1,
IB3d_2, 16,  28,  3,  3, 43, 128,  1,
IB3d_3, 14,  28,  1,  1, 128, 512,  1,
CB4a_1, 6,  28,  1,  1, 256, 256,  2,
CB4a_2, 9,  14,  3,  3, 128, 256,  1,
CB4a_3, 7,  14,  1,  1, 256, 1024,  1,
CB4s, 6,  28,  1,  1, 512, 1024,  2,
IB4b_1, 7,  14,  1,  1, 512, 256,  1,
IB4b_2, 9,  14,  3,  3, 128, 256,  1,
IB4b_3, 7,  14,  1,  1, 256, 1024,  1,
IB4c_1, 7,  14,  1,  1, 512, 256,  1,
IB4c_2, 9,  14,  3,  3, 128, 256,  1,
IB4c_3, 7,  14,  1,  1, 256, 1024,  1,
IB4d_1, 7,  14,  1,  1, 512, 256,  1,
IB4d_2, 9,  14,  3,  3, 128, 256,  1,
IB4d_3, 7,  14,  1,  1, 256, 1024,  1,
IB4e_1, 7,  14,  1,  1, 512, 256,  1,
IB4e_2, 9,  14,  3,  3, 128, 256,  1,
IB4e_3, 7,  14,  1,  1, 256, 1024,  1,
IB4f_1, 7,  14,  1,  1, 512, 256,  1,
IB4f_2, 9,  14,  3,  3, 128, 256,  1,
IB4f_3, 7,  14,  1,  1, 256, 1024,  1,
RPN_Conv1, 9,  14,  3,  3, 1024, 512,  1,
RPN_Conv_bbox, 7,  14,  1,  1, 47, 36,  1,
RPN_Conv3_cls, 7,  14,  1,  1, 24, 18,  1,
