Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
Conv1, 2740, 224, 3, 3, 3, 64, 1, 
Conv2, 2740, 224, 3, 3, 64, 64, 1, 
Conv3, 1347, 112, 3, 3, 64, 128, 1, 
Conv4, 1347, 112, 3, 3, 128, 128, 1, 
Conv5, 731, 56, 3, 3, 128, 256, 1, 
Conv6, 731, 56, 3, 3, 256, 256, 1, 
Conv7, 731, 56, 3, 3, 256, 256, 1, 
Conv8, 340, 28, 3, 3, 256, 512, 1, 
Conv9, 340, 28, 3, 3, 512, 512, 1, 
Conv10, 340, 28, 3, 3, 512, 512, 1, 
Conv11, 74, 14, 3, 3, 512, 512, 1, 
Conv12, 74, 14, 3, 3, 512, 512, 1, 
Conv13, 74, 14, 3, 3, 512, 512, 1, 
